Tissue,Avg_Cq,Std_Cq
rootip,1.0,0.8687505027176868
bud,0.9965407148922071,0.4451362117640015
bark,0.9336036009817905,0.5024531544885953
xylem,0.9254643595506272,0.4511436988854761
shootip,0.8984544284443077,0.19089775939895376
leaf,0.8834254782369292,0.7741023476190347
